"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: base","Param: distribution","Param: indexType","Param: max","Param: seed"
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,11937742.799000,4197540.988667,"us/op",4,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,135.000000,NaN,"#",4,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,55999300.000000,NaN,"#",4,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,10321654.476200,3603084.932112,"us/op",4,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,135.000000,NaN,"#",4,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,55999300.000000,NaN,"#",4,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,5487131.335600,380946.891550,"us/op",4,"NORMAL(100000,10)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,135.000000,NaN,"#",4,"NORMAL(100000,10)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,124999825.000000,NaN,"#",4,"NORMAL(100000,10)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,11692850.195200,4759852.981869,"us/op",4,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,135.000000,NaN,"#",4,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,156847660.000000,NaN,"#",4,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,12001653.070600,4932567.989141,"us/op",4,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,135.000000,NaN,"#",4,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,156847660.000000,NaN,"#",4,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,6831541.584400,590490.667490,"us/op",4,"UNIFORM(0,100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,135.000000,NaN,"#",4,"UNIFORM(0,100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,168749940.000000,NaN,"#",4,"UNIFORM(0,100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,11761233.215200,4995658.002935,"us/op",4,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,165.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,194485900.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,11940335.489200,5318478.725388,"us/op",4,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,165.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,194485900.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,5919811.774200,499112.079526,"us/op",4,"UNIFORM(1000000,1100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,165.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,206249925.000000,NaN,"#",4,"UNIFORM(1000000,1100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,11585758.870800,3676336.799226,"us/op",4,EXP(0.0001),RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,135.000000,NaN,"#",4,EXP(0.0001),RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,145766190.000000,NaN,"#",4,EXP(0.0001),RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,10994163.918200,3701832.209078,"us/op",4,EXP(0.0001),TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,135.000000,NaN,"#",4,EXP(0.0001),TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,145766190.000000,NaN,"#",4,EXP(0.0001),TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,6813210.017200,481620.369222,"us/op",4,EXP(0.0001),UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,135.000000,NaN,"#",4,EXP(0.0001),UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,168749945.000000,NaN,"#",4,EXP(0.0001),UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,15124634.152400,1727616.210782,"us/op",10,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,225.000000,NaN,"#",10,"NORMAL(100000,10)",RELATIVE,10000000,42
